provider,model_id,variation,unit,price_usd,effective_from,effective_to,last_validated_at,source_kind,confidence,aliases,source_url,notes
alibaba,qwen3.5-flash,input,usd_per_mtok,0.1,2026-02-23,,2026-06-17,provider_live,verified,,https://www.alibabacloud.com/help/en/model-studio/model-pricing,qwen3.5-flash-2026-02-23.
alibaba,qwen3.5-flash,output,usd_per_mtok,0.4,2026-02-23,,2026-06-17,provider_live,verified,,https://www.alibabacloud.com/help/en/model-studio/model-pricing,
alibaba,qwen3.5-plus,input,usd_per_mtok,0.4,2026-02-15,,2026-06-17,provider_live,verified,,https://www.alibabacloud.com/help/en/model-studio/model-pricing,qwen3.5-plus-2026-02-15.
alibaba,qwen3.5-plus,output,usd_per_mtok,2.4,2026-02-15,,2026-06-17,provider_live,verified,,https://www.alibabacloud.com/help/en/model-studio/model-pricing,
alibaba,qwen3.6-flash,input,usd_per_mtok,0.25,2026-04-27,,2026-06-29,provider_live,verified,,https://www.alibabacloud.com/help/en/model-studio/model-pricing,"International deployment scope (intl USD), Model Studio ""Model inference pricing""; base/standard tier."
alibaba,qwen3.6-flash,output,usd_per_mtok,1.5,2026-04-27,,2026-06-29,provider_live,verified,,https://www.alibabacloud.com/help/en/model-studio/model-pricing,"International deployment scope (intl USD), Model Studio ""Model inference pricing""; base/standard tier."
alibaba,qwen3.6-plus,input,usd_per_mtok,0.5,2026-04-02,,2026-07-08,provider_live,verified,,https://www.alibabacloud.com/help/en/model-studio/model-pricing,"International deployment scope (intl USD), Model Studio ""Model inference pricing""; base/standard tier. First-party re-confirmed 2026-07-08; the intl-USD tier sits above OpenRouter's routed (domestic) price, so the reseller-vs-first-party cross-check flag is an expected false positive here, not a wrong price."
alibaba,qwen3.6-plus,output,usd_per_mtok,3,2026-04-02,,2026-07-08,provider_live,verified,,https://www.alibabacloud.com/help/en/model-studio/model-pricing,"International deployment scope (intl USD), Model Studio ""Model inference pricing""; base/standard tier. First-party re-confirmed 2026-07-08; the intl-USD tier sits above OpenRouter's routed (domestic) price, so the reseller-vs-first-party cross-check flag is an expected false positive here, not a wrong price."
alibaba,qwen3.7-max,input,usd_per_mtok,2.5,2026-05-21,,2026-07-08,provider_live,verified,,https://www.alibabacloud.com/help/en/model-studio/model-pricing,"International deployment scope (intl USD), Model Studio ""Model inference pricing""; base/standard tier. First-party re-confirmed 2026-07-08; the intl-USD tier sits above OpenRouter's routed (domestic) price, so the reseller-vs-first-party cross-check flag is an expected false positive here, not a wrong price."
alibaba,qwen3.7-max,output,usd_per_mtok,7.5,2026-05-21,,2026-07-08,provider_live,verified,,https://www.alibabacloud.com/help/en/model-studio/model-pricing,"International deployment scope (intl USD), Model Studio ""Model inference pricing""; base/standard tier. First-party re-confirmed 2026-07-08; the intl-USD tier sits above OpenRouter's routed (domestic) price, so the reseller-vs-first-party cross-check flag is an expected false positive here, not a wrong price."
alibaba,qwen3.7-plus,input,usd_per_mtok,0.4,2026-06-03,,2026-06-29,provider_live,verified,,https://www.alibabacloud.com/help/en/model-studio/model-pricing,"International deployment scope (intl USD), Model Studio ""Model inference pricing""; base/standard tier."
alibaba,qwen3.7-plus,output,usd_per_mtok,1.6,2026-06-03,,2026-06-29,provider_live,verified,,https://www.alibabacloud.com/help/en/model-studio/model-pricing,"International deployment scope (intl USD), Model Studio ""Model inference pricing""; base/standard tier."
amazon,nova-2-lite,input,usd_per_mtok,0.3,2025-12-02,,2026-06-17,provider_live,verified,,https://aws.amazon.com/nova/pricing/,amazon.nova-2-lite-v1:0.
amazon,nova-2-lite,output,usd_per_mtok,2.5,2025-12-02,,2026-06-17,provider_live,verified,,https://aws.amazon.com/nova/pricing/,
amazon,nova-2-pro,input,usd_per_mtok,1.25,2026-06-22,2026-06-29,2026-06-22,provider_live,inferred,,https://aws.amazon.com/bedrock/pricing/,"[needs_review] cross-check flagged: no independent corroboration (new model, no OpenRouter match). Nova 2.0 Pro. us-east-1, on-demand (cross-region-global profile where AWS publishes one). From the AWS Bedrock Price List API."
amazon,nova-2-pro,input,usd_per_mtok,1.25,2026-06-29,,2026-06-29,provider_live,verified,,https://aws.amazon.com/bedrock/pricing/,"[provenance upgrade] first-party collector confirmed the published price; supersedes the prior inferred/provider_live record. Nova 2.0 Pro. us-east-1, on-demand (cross-region-global profile where AWS publishes one). From the AWS Bedrock Price List API."
amazon,nova-2-pro,output,usd_per_mtok,10,2026-06-22,2026-06-29,2026-06-22,provider_live,inferred,,https://aws.amazon.com/bedrock/pricing/,"[needs_review] cross-check flagged: no independent corroboration (new model, no OpenRouter match). Nova 2.0 Pro. us-east-1, on-demand (cross-region-global profile where AWS publishes one). From the AWS Bedrock Price List API."
amazon,nova-2-pro,output,usd_per_mtok,10,2026-06-29,,2026-06-29,provider_live,verified,,https://aws.amazon.com/bedrock/pricing/,"[provenance upgrade] first-party collector confirmed the published price; supersedes the prior inferred/provider_live record. Nova 2.0 Pro. us-east-1, on-demand (cross-region-global profile where AWS publishes one). From the AWS Bedrock Price List API."
amazon,nova-lite,input,usd_per_mtok,0.06,2024-12-03,,2026-06-17,provider_live,verified,,https://aws.amazon.com/nova/pricing/,amazon.nova-lite-v1:0.
amazon,nova-lite,output,usd_per_mtok,0.24,2024-12-03,,2026-06-17,provider_live,verified,,https://aws.amazon.com/nova/pricing/,
amazon,nova-micro,input,usd_per_mtok,0.035,2024-12-03,,2026-06-17,provider_live,verified,,https://aws.amazon.com/nova/pricing/,"amazon.nova-micro-v1:0. US East, on-demand Standard tier."
amazon,nova-micro,output,usd_per_mtok,0.14,2024-12-03,,2026-06-17,provider_live,verified,,https://aws.amazon.com/nova/pricing/,
amazon,nova-premier,input,usd_per_mtok,2.5,2025-04-30,,2026-06-17,provider_live,verified,,https://aws.amazon.com/nova/pricing/,amazon.nova-premier-v1:0. GA 2025-04.
amazon,nova-premier,output,usd_per_mtok,12.5,2025-04-30,,2026-06-17,provider_live,verified,,https://aws.amazon.com/nova/pricing/,
amazon,nova-pro,input,usd_per_mtok,0.8,2024-12-03,,2026-06-17,provider_live,verified,,https://aws.amazon.com/nova/pricing/,amazon.nova-pro-v1:0.
amazon,nova-pro,output,usd_per_mtok,3.2,2024-12-03,,2026-06-17,provider_live,verified,,https://aws.amazon.com/nova/pricing/,
anthropic,claude-3-5-haiku-20241022,input,usd_per_mtok,1,2024-11-04,2024-12-03,2024-11-05,wayback,archived,,https://web.archive.org/web/20241105102333/https://www.anthropic.com/news/3-5-models-and-computer-use,Claude 3.5 Haiku LAUNCH price (4x the Claude 3 Haiku 0.25/1.25). Anthropic's own post: '11/04/2024: revised pricing for Claude 3.5 Haiku ... now priced at $1 MTok input / $5 MTok output'. Cut to 0.80/4 on 2024-12-03.
anthropic,claude-3-5-haiku-20241022,input,usd_per_mtok,0.8,2024-12-03,2026-02-19,2024-12-03,wayback,archived,,https://web.archive.org/web/20241203010242/https://www.anthropic.com/pricing,Claude 3.5 Haiku revised down to 0.80/4 on 2024-12-03; held until retirement 2026-02-19.
anthropic,claude-3-5-haiku-20241022,output,usd_per_mtok,5,2024-11-04,2024-12-03,2024-11-05,wayback,archived,,https://web.archive.org/web/20241105102333/https://www.anthropic.com/news/3-5-models-and-computer-use,
anthropic,claude-3-5-haiku-20241022,output,usd_per_mtok,4,2024-12-03,2026-02-19,2024-12-03,wayback,archived,,https://web.archive.org/web/20241203010242/https://www.anthropic.com/pricing,
anthropic,claude-3-5-sonnet-20240620,input,usd_per_mtok,3,2024-06-20,2025-10-28,2024-06-24,wayback,archived,,https://web.archive.org/web/20240624062926/https://www.anthropic.com/pricing,"Claude 3.5 Sonnet, stated in anthropic.com/news/claude-3-5-sonnet. Retired 2025-10-28."
anthropic,claude-3-5-sonnet-20240620,output,usd_per_mtok,15,2024-06-20,2025-10-28,2024-06-24,wayback,archived,,https://web.archive.org/web/20240624062926/https://www.anthropic.com/pricing,
anthropic,claude-3-7-sonnet-20250219,input,usd_per_mtok,3,2025-02-24,2026-02-19,2025-02-24,wayback,archived,,https://web.archive.org/web/20250224210640/https://www.anthropic.com/pricing,"Claude 3.7 Sonnet, stated in anthropic.com/news/claude-3-7-sonnet. Retired 2026-02-19."
anthropic,claude-3-7-sonnet-20250219,output,usd_per_mtok,15,2025-02-24,2026-02-19,2025-02-24,wayback,archived,,https://web.archive.org/web/20250224210640/https://www.anthropic.com/pricing,
anthropic,claude-3-haiku-20240307,input,usd_per_mtok,0.25,2024-03-04,2026-04-20,2024-03-04,wayback,archived,,https://web.archive.org/web/20240304143754/https://www.anthropic.com/api,"Claude 3 Haiku launch price, published in the launch-day pricing block (model GA mid-March 2024). Retired 2026-04-20."
anthropic,claude-3-haiku-20240307,output,usd_per_mtok,1.25,2024-03-04,2026-04-20,2024-03-04,wayback,archived,,https://web.archive.org/web/20240304143754/https://www.anthropic.com/api,
anthropic,claude-3-opus-20240229,input,usd_per_mtok,15,2024-03-04,2026-01-05,2024-03-04,wayback,archived,,https://web.archive.org/web/20240304143754/https://www.anthropic.com/api,"Claude 3 launch pricing, archive-confirmed in the launch-day pricing block; also stated in anthropic.com/news/claude-3-family. Retired 2026-01-05 per the Anthropic model-deprecations page."
anthropic,claude-3-opus-20240229,output,usd_per_mtok,75,2024-03-04,2026-01-05,2024-03-04,wayback,archived,,https://web.archive.org/web/20240304143754/https://www.anthropic.com/api,
anthropic,claude-3-sonnet-20240229,input,usd_per_mtok,3,2024-03-04,2025-07-21,2024-03-04,wayback,archived,,https://web.archive.org/web/20240304143754/https://www.anthropic.com/api,Claude 3 launch pricing. Retired 2025-07-21.
anthropic,claude-3-sonnet-20240229,output,usd_per_mtok,15,2024-03-04,2025-07-21,2024-03-04,wayback,archived,,https://web.archive.org/web/20240304143754/https://www.anthropic.com/api,
anthropic,claude-fable-5,cache_read,usd_per_mtok,1,2026-07-31,,2026-07-31,provider_live,verified,,https://docs.claude.com/en/docs/about-claude/pricing,"[missing variation] Added by the sentinel's missing-variation pass: the provider publishes this rate alongside the input/output prices we already track, but we carried no row for it. effective_from is the OBSERVATION date, NOT a known change date - the rate is very likely older, and no dated first-party evidence exists for an earlier start."
anthropic,claude-fable-5,cache_write_1h,usd_per_mtok,20,2026-07-31,,2026-07-31,provider_live,verified,,https://docs.claude.com/en/docs/about-claude/pricing,"[missing variation] Added by the sentinel's missing-variation pass: the provider publishes this rate alongside the input/output prices we already track, but we carried no row for it. effective_from is the OBSERVATION date, NOT a known change date - the rate is very likely older, and no dated first-party evidence exists for an earlier start."
anthropic,claude-fable-5,cache_write_5m,usd_per_mtok,12.5,2026-07-31,,2026-07-31,provider_live,verified,,https://docs.claude.com/en/docs/about-claude/pricing,"[missing variation] Added by the sentinel's missing-variation pass: the provider publishes this rate alongside the input/output prices we already track, but we carried no row for it. effective_from is the OBSERVATION date, NOT a known change date - the rate is very likely older, and no dated first-party evidence exists for an earlier start."
anthropic,claude-fable-5,input,usd_per_mtok,10,2026-06-09,,2026-06-12,provider_live,verified,,https://docs.claude.com/en/docs/about-claude/pricing,"Claude Fable 5, Anthropic's first public Mythos-class model, launched 2026-06-09. Listed API price (2x Opus 4.5 at $5/$25). Free for Pro/Max/Team/Enterprise plans through 2026-06-22; standard metered rate from 2026-06-23."
anthropic,claude-fable-5,output,usd_per_mtok,50,2026-06-09,,2026-06-12,provider_live,verified,,https://docs.claude.com/en/docs/about-claude/pricing,
anthropic,claude-haiku-4-5-20251001,cache_read,usd_per_mtok,0.1,2026-07-31,,2026-07-31,provider_live,verified,claude-haiku-4-5,https://docs.claude.com/en/docs/about-claude/pricing,"[missing variation] Added by the sentinel's missing-variation pass: the provider publishes this rate alongside the input/output prices we already track, but we carried no row for it. effective_from is the OBSERVATION date, NOT a known change date - the rate is very likely older, and no dated first-party evidence exists for an earlier start."
anthropic,claude-haiku-4-5-20251001,cache_write_1h,usd_per_mtok,2,2026-07-31,,2026-07-31,provider_live,verified,claude-haiku-4-5,https://docs.claude.com/en/docs/about-claude/pricing,"[missing variation] Added by the sentinel's missing-variation pass: the provider publishes this rate alongside the input/output prices we already track, but we carried no row for it. effective_from is the OBSERVATION date, NOT a known change date - the rate is very likely older, and no dated first-party evidence exists for an earlier start."
anthropic,claude-haiku-4-5-20251001,cache_write_5m,usd_per_mtok,1.25,2026-07-31,,2026-07-31,provider_live,verified,claude-haiku-4-5,https://docs.claude.com/en/docs/about-claude/pricing,"[missing variation] Added by the sentinel's missing-variation pass: the provider publishes this rate alongside the input/output prices we already track, but we carried no row for it. effective_from is the OBSERVATION date, NOT a known change date - the rate is very likely older, and no dated first-party evidence exists for an earlier start."
anthropic,claude-haiku-4-5-20251001,input,usd_per_mtok,1,2025-10-15,,2026-06-16,provider_live,verified,claude-haiku-4-5,https://www.anthropic.com/news/claude-haiku-4-5,"Haiku 4.5 at $1/$5 (NOT the older 3.5-Haiku $0.80/$4). GA/announcement 2025-10-15; the snapshot id encodes 2025-10-01. Both dated and short forms emitted; dated is canonical, short is an alias."
anthropic,claude-haiku-4-5-20251001,output,usd_per_mtok,5,2025-10-15,,2026-06-16,provider_live,verified,claude-haiku-4-5,https://www.anthropic.com/news/claude-haiku-4-5,"Haiku 4.5 at $1/$5 (NOT the older 3.5-Haiku $0.80/$4). GA/announcement 2025-10-15; the snapshot id encodes 2025-10-01. Both dated and short forms emitted; dated is canonical, short is an alias."
anthropic,claude-mythos-5,cache_read,usd_per_mtok,1,2026-06-22,2026-06-29,2026-06-22,provider_live,inferred,,https://docs.claude.com/en/docs/about-claude/pricing,Inferred pending first-party confirmation; superseded 2026-06-29 by the verified record at the same price.
anthropic,claude-mythos-5,cache_read,usd_per_mtok,1,2026-06-29,,2026-06-29,provider_live,verified,,https://docs.claude.com/en/docs/about-claude/pricing,[provenance upgrade] first-party collector confirmed the published price; supersedes the prior inferred/provider_live record.
anthropic,claude-mythos-5,cache_write_1h,usd_per_mtok,20,2026-06-22,2026-06-29,2026-06-22,provider_live,inferred,,https://docs.claude.com/en/docs/about-claude/pricing,Inferred pending first-party confirmation; superseded 2026-06-29 by the verified record at the same price.
anthropic,claude-mythos-5,cache_write_1h,usd_per_mtok,20,2026-06-29,,2026-06-29,provider_live,verified,,https://docs.claude.com/en/docs/about-claude/pricing,[provenance upgrade] first-party collector confirmed the published price; supersedes the prior inferred/provider_live record.
anthropic,claude-mythos-5,cache_write_5m,usd_per_mtok,12.5,2026-06-22,2026-06-29,2026-06-22,provider_live,inferred,,https://docs.claude.com/en/docs/about-claude/pricing,Inferred pending first-party confirmation; superseded 2026-06-29 by the verified record at the same price.
anthropic,claude-mythos-5,cache_write_5m,usd_per_mtok,12.5,2026-06-29,,2026-06-29,provider_live,verified,,https://docs.claude.com/en/docs/about-claude/pricing,[provenance upgrade] first-party collector confirmed the published price; supersedes the prior inferred/provider_live record.
anthropic,claude-mythos-5,input,usd_per_mtok,10,2026-06-22,2026-06-29,2026-06-22,provider_live,inferred,,https://docs.claude.com/en/docs/about-claude/pricing,Inferred pending first-party confirmation; superseded 2026-06-29 by the verified record at the same price.
anthropic,claude-mythos-5,input,usd_per_mtok,10,2026-06-29,,2026-06-29,provider_live,verified,,https://docs.claude.com/en/docs/about-claude/pricing,[provenance upgrade] first-party collector confirmed the published price; supersedes the prior inferred/provider_live record.
anthropic,claude-mythos-5,output,usd_per_mtok,50,2026-06-22,2026-06-29,2026-06-22,provider_live,inferred,,https://docs.claude.com/en/docs/about-claude/pricing,Inferred pending first-party confirmation; superseded 2026-06-29 by the verified record at the same price.
anthropic,claude-mythos-5,output,usd_per_mtok,50,2026-06-29,,2026-06-29,provider_live,verified,,https://docs.claude.com/en/docs/about-claude/pricing,[provenance upgrade] first-party collector confirmed the published price; supersedes the prior inferred/provider_live record.
anthropic,claude-opus-4-1-20250805,cache_read,usd_per_mtok,1.5,2026-07-31,,2026-07-31,provider_live,verified,claude-opus-4-1,https://docs.claude.com/en/docs/about-claude/pricing,"[missing variation] Added by the sentinel's missing-variation pass: the provider publishes this rate alongside the input/output prices we already track, but we carried no row for it. effective_from is the OBSERVATION date, NOT a known change date - the rate is very likely older, and no dated first-party evidence exists for an earlier start."
anthropic,claude-opus-4-1-20250805,cache_write_1h,usd_per_mtok,30,2026-07-31,,2026-07-31,provider_live,verified,claude-opus-4-1,https://docs.claude.com/en/docs/about-claude/pricing,"[missing variation] Added by the sentinel's missing-variation pass: the provider publishes this rate alongside the input/output prices we already track, but we carried no row for it. effective_from is the OBSERVATION date, NOT a known change date - the rate is very likely older, and no dated first-party evidence exists for an earlier start."
anthropic,claude-opus-4-1-20250805,cache_write_5m,usd_per_mtok,18.75,2026-07-31,,2026-07-31,provider_live,verified,claude-opus-4-1,https://docs.claude.com/en/docs/about-claude/pricing,"[missing variation] Added by the sentinel's missing-variation pass: the provider publishes this rate alongside the input/output prices we already track, but we carried no row for it. effective_from is the OBSERVATION date, NOT a known change date - the rate is very likely older, and no dated first-party evidence exists for an earlier start."
anthropic,claude-opus-4-1-20250805,input,usd_per_mtok,15,2025-08-05,,2026-06-16,provider_live,verified,claude-opus-4-1,https://www.anthropic.com/news/claude-opus-4-1,Opus 4.1 at the original $15/$75 Opus tier. Deprecated 2026-06-05 with scheduled retirement 2026-08-05 (per the model-deprecations page); retirement is in the FUTURE so effective_to stays null (model still current) per the locked modeling rule.
anthropic,claude-opus-4-1-20250805,output,usd_per_mtok,75,2025-08-05,,2026-06-16,provider_live,verified,claude-opus-4-1,https://www.anthropic.com/news/claude-opus-4-1,Opus 4.1 at the original $15/$75 Opus tier. Deprecated 2026-06-05 with scheduled retirement 2026-08-05 (per the model-deprecations page); retirement is in the FUTURE so effective_to stays null (model still current) per the locked modeling rule.
anthropic,claude-opus-4-20250514,cache_read,usd_per_mtok,1.5,2026-07-31,,2026-07-31,provider_live,verified,,https://docs.claude.com/en/docs/about-claude/pricing,"[missing variation] Added by the sentinel's missing-variation pass: the provider publishes this rate alongside the input/output prices we already track, but we carried no row for it. effective_from is the OBSERVATION date, NOT a known change date - the rate is very likely older, and no dated first-party evidence exists for an earlier start."
anthropic,claude-opus-4-20250514,cache_write_1h,usd_per_mtok,30,2026-07-31,,2026-07-31,provider_live,verified,,https://docs.claude.com/en/docs/about-claude/pricing,"[missing variation] Added by the sentinel's missing-variation pass: the provider publishes this rate alongside the input/output prices we already track, but we carried no row for it. effective_from is the OBSERVATION date, NOT a known change date - the rate is very likely older, and no dated first-party evidence exists for an earlier start."
anthropic,claude-opus-4-20250514,cache_write_5m,usd_per_mtok,18.75,2026-07-31,,2026-07-31,provider_live,verified,,https://docs.claude.com/en/docs/about-claude/pricing,"[missing variation] Added by the sentinel's missing-variation pass: the provider publishes this rate alongside the input/output prices we already track, but we carried no row for it. effective_from is the OBSERVATION date, NOT a known change date - the rate is very likely older, and no dated first-party evidence exists for an earlier start."
anthropic,claude-opus-4-20250514,input,usd_per_mtok,15,2025-05-14,,2026-06-12,provider_live,verified,,https://docs.claude.com/en/docs/about-claude/pricing,Opus 4 flagship tier. effective_from is the dated snapshot release date.
anthropic,claude-opus-4-20250514,output,usd_per_mtok,75,2025-05-14,,2026-06-12,provider_live,verified,,https://docs.claude.com/en/docs/about-claude/pricing,
anthropic,claude-opus-4-5-20251101,cache_read,usd_per_mtok,0.5,2026-07-31,,2026-07-31,provider_live,verified,claude-opus-4-5,https://docs.claude.com/en/docs/about-claude/pricing,"[missing variation] Added by the sentinel's missing-variation pass: the provider publishes this rate alongside the input/output prices we already track, but we carried no row for it. effective_from is the OBSERVATION date, NOT a known change date - the rate is very likely older, and no dated first-party evidence exists for an earlier start."
anthropic,claude-opus-4-5-20251101,cache_write_1h,usd_per_mtok,10,2026-07-31,,2026-07-31,provider_live,verified,claude-opus-4-5,https://docs.claude.com/en/docs/about-claude/pricing,"[missing variation] Added by the sentinel's missing-variation pass: the provider publishes this rate alongside the input/output prices we already track, but we carried no row for it. effective_from is the OBSERVATION date, NOT a known change date - the rate is very likely older, and no dated first-party evidence exists for an earlier start."
anthropic,claude-opus-4-5-20251101,cache_write_5m,usd_per_mtok,6.25,2026-07-31,,2026-07-31,provider_live,verified,claude-opus-4-5,https://docs.claude.com/en/docs/about-claude/pricing,"[missing variation] Added by the sentinel's missing-variation pass: the provider publishes this rate alongside the input/output prices we already track, but we carried no row for it. effective_from is the OBSERVATION date, NOT a known change date - the rate is very likely older, and no dated first-party evidence exists for an earlier start."
anthropic,claude-opus-4-5-20251101,input,usd_per_mtok,5,2025-11-01,,2026-06-12,provider_live,verified,claude-opus-4-5,https://docs.claude.com/en/docs/about-claude/pricing,Opus 4.5 cut the Opus flagship input price from 15 to 5 per Mtok.
anthropic,claude-opus-4-5-20251101,output,usd_per_mtok,25,2025-11-01,,2026-06-12,provider_live,verified,claude-opus-4-5,https://docs.claude.com/en/docs/about-claude/pricing,
anthropic,claude-opus-4-6,cache_read,usd_per_mtok,0.5,2026-07-31,,2026-07-31,provider_live,verified,,https://docs.claude.com/en/docs/about-claude/pricing,"[missing variation] Added by the sentinel's missing-variation pass: the provider publishes this rate alongside the input/output prices we already track, but we carried no row for it. effective_from is the OBSERVATION date, NOT a known change date - the rate is very likely older, and no dated first-party evidence exists for an earlier start."
anthropic,claude-opus-4-6,cache_write_1h,usd_per_mtok,10,2026-07-31,,2026-07-31,provider_live,verified,,https://docs.claude.com/en/docs/about-claude/pricing,"[missing variation] Added by the sentinel's missing-variation pass: the provider publishes this rate alongside the input/output prices we already track, but we carried no row for it. effective_from is the OBSERVATION date, NOT a known change date - the rate is very likely older, and no dated first-party evidence exists for an earlier start."
anthropic,claude-opus-4-6,cache_write_5m,usd_per_mtok,6.25,2026-07-31,,2026-07-31,provider_live,verified,,https://docs.claude.com/en/docs/about-claude/pricing,"[missing variation] Added by the sentinel's missing-variation pass: the provider publishes this rate alongside the input/output prices we already track, but we carried no row for it. effective_from is the OBSERVATION date, NOT a known change date - the rate is very likely older, and no dated first-party evidence exists for an earlier start."
anthropic,claude-opus-4-6,input,usd_per_mtok,5,2026-02-05,,2026-06-16,provider_live,verified,,https://www.anthropic.com/news/claude-opus-4-6,"Opus 4.6 at the post-4.5 lower tier ($5/$25 standard). Short undated id is what Claude Code emits; no dated form in the wild, so short id is canonical."
anthropic,claude-opus-4-6,output,usd_per_mtok,25,2026-02-05,,2026-06-16,provider_live,verified,,https://www.anthropic.com/news/claude-opus-4-6,"Opus 4.6 at the post-4.5 lower tier ($5/$25 standard). Short undated id is what Claude Code emits; no dated form in the wild, so short id is canonical."
anthropic,claude-opus-4-7,cache_read,usd_per_mtok,0.5,2026-07-31,,2026-07-31,provider_live,verified,,https://docs.claude.com/en/docs/about-claude/pricing,"[missing variation] Added by the sentinel's missing-variation pass: the provider publishes this rate alongside the input/output prices we already track, but we carried no row for it. effective_from is the OBSERVATION date, NOT a known change date - the rate is very likely older, and no dated first-party evidence exists for an earlier start."
anthropic,claude-opus-4-7,cache_write_1h,usd_per_mtok,10,2026-07-31,,2026-07-31,provider_live,verified,,https://docs.claude.com/en/docs/about-claude/pricing,"[missing variation] Added by the sentinel's missing-variation pass: the provider publishes this rate alongside the input/output prices we already track, but we carried no row for it. effective_from is the OBSERVATION date, NOT a known change date - the rate is very likely older, and no dated first-party evidence exists for an earlier start."
anthropic,claude-opus-4-7,cache_write_5m,usd_per_mtok,6.25,2026-07-31,,2026-07-31,provider_live,verified,,https://docs.claude.com/en/docs/about-claude/pricing,"[missing variation] Added by the sentinel's missing-variation pass: the provider publishes this rate alongside the input/output prices we already track, but we carried no row for it. effective_from is the OBSERVATION date, NOT a known change date - the rate is very likely older, and no dated first-party evidence exists for an earlier start."
anthropic,claude-opus-4-7,input,usd_per_mtok,5,2026-04-16,,2026-06-16,provider_live,verified,,https://www.anthropic.com/news/claude-opus-4-7,Opus 4.7 standard $5/$25. New tokenizer may consume more tokens per task but per-token price unchanged.
anthropic,claude-opus-4-7,output,usd_per_mtok,25,2026-04-16,,2026-06-16,provider_live,verified,,https://www.anthropic.com/news/claude-opus-4-7,Opus 4.7 standard $5/$25. New tokenizer may consume more tokens per task but per-token price unchanged.
anthropic,claude-opus-4-8,cache_read,usd_per_mtok,0.5,2026-07-31,,2026-07-31,provider_live,verified,,https://docs.claude.com/en/docs/about-claude/pricing,"[missing variation] Added by the sentinel's missing-variation pass: the provider publishes this rate alongside the input/output prices we already track, but we carried no row for it. effective_from is the OBSERVATION date, NOT a known change date - the rate is very likely older, and no dated first-party evidence exists for an earlier start."
anthropic,claude-opus-4-8,cache_write_1h,usd_per_mtok,10,2026-07-31,,2026-07-31,provider_live,verified,,https://docs.claude.com/en/docs/about-claude/pricing,"[missing variation] Added by the sentinel's missing-variation pass: the provider publishes this rate alongside the input/output prices we already track, but we carried no row for it. effective_from is the OBSERVATION date, NOT a known change date - the rate is very likely older, and no dated first-party evidence exists for an earlier start."
